франкфурт-на-майне	франкфурт -на -майн е
пуленепробиваемый	пуленепро бива ем ый
бронированный	брон ир ова нн ый
пенополиуританин	пенополиуританин
кефир	кефир
бессквозняковый	бес ск возняк ов ый
безветреный	без ветр ен ый
вестминстерский	вестминстер ск ий
лондонский	лондон ск ий
сногсшибательный	сногсшиб а тельн ый
завистливый	за вист лив ый
полиизобутилен	полииз обутилен
поливинилацетат	по ливинилацетат
грузино-абхазский	груз ин о -абхаз ск ий
кавказский	кавказ ск ий
детоталитаризация	детоталитар из аци я
стол	стол
слабоминерализованный	слабо минерал из ова нн ый
гидрокарбонатный	гидр о карбонат н ый
авиационно-космический	ави аци онн о -к о см ическ ий
воздушный	воздуш н ый
сталелитейный	сталелитей н ый
заводской	за вод ск ой
спринтерский	спринтер ск ий
атлетический	атлет ическ ий
звукозаписывающий	звук о за пис ыва ющ ий
студийный	студ ий н ый
конкуретноспособность	конкуретноспособ н ость
предпринимательство	предпри ним а тель ств о
неремонтопригодный	не ремонт о при год н ый
былой	был ой
уголовно-процессуальный	уголовн о -про цессуаль н ый
судебный	судеб н ый
приснопамятный	при снопа мят н ый
темпераментный	темпераментн ый
чехословацкий	чехосл ова цк ий
чешский	чеш ск ий
полузамерзший	по лу за мерз ш ий
сиреневый	сир ен ев ый
взаимозаменяемый	взаим о за мен яем ый
альтернативный	альтернативн ый
неостановимый	не о станов им ый
воображаемый	воображ а ем ый
налогооблагаемый	на лог о облагаем ый
материальный	материаль н ый
рационализаторский	рационализ атор ск ий
классный	класс н ый
длиннобазный	длиннобаз н ый
вытянутый	вы тяну т ый
поскальзываться	по скальз ыва ть ся
спотыкаться	спотык а ть ся
легкоусвояемый	легк о у свояем ый
диетический	диет ическ ий
хлопчатобумажный	хлопч ат о бумаж н ый
ткацкий	ткацк ий
закоренелый	за корен е л ый
усталый	у стал ый
желудочно-кишечный	желудоч н о -кишеч н ый
врачебный	врачеб н ый
квадратно-гнездовой	квадрат н о -гнезд ов ой
квадратный	квадрат н ый
гражданско-процессуальный	гражданск о -про цессуаль н ый
общеправовой	об щеправ ов ой
неосторожный	не о сторож н ый
неаккуратный	не акк урат н ый
приспосабливаться	при спосабл ива ть ся
умудряться	умудр я ть ся
рабоче-крестьянский	рабоче-кресть ян ск ий
пролетарский	про летар ск ий
тетраэтилсвинец	тетраэтилсвин ец
свинец	свин ец
морально-нравственный	мор аль н о -нрав ств енн ый
этический	эт ическ ий
незатасканный	не затаск а нн ый
неистрепанный	не истрепа нн ый
неизбирабельный	не из бирабель н ый
стойкий	стойк ий
социально-политический	соци аль н о -полит ическ ий
экономический	эк о ном ическ ий
двухъярусный	дв ухъярус н ый
плотный	плотн ый
беллинсгаузен	беллинсгауз ен
крузенштерн	круз енштерн
древесностружечный	древесностружеч н ый
строительный	стр о и тельн ый
непропорциональность	не пропорциона ль н ость
диспропорциональность	диспропорциона ль н ость
горно-обогатительный	горн о -обогат и тельн ый
восхитительный	восхит и тельн ый
исправительно-трудовой	исправ и тельн о -труд ов ой
лагерный	лагер н ый
сердечно-сосудистый	сердеч н о -сосуд ист ый
кровеносный	кровенос н ый
всепобеждающий	всеп о бежд а ющ ий
кожаный	кож ан ый
небезызвестный	не без ыз вестн ый
знаменитый	зна мени т ый
приноравливаться	при норавл ива ть ся
приспособляться	при способл я ть ся
набалдашник	на балдаш ник
чиновник	чинов ник
всеохватывающий	всео хват ыва ющ ий
всеобъемлющий	всеобъемл ющ ий
совершеннолетний	со верш еннолет н ий
тетрадный	тетрадн ый
претенциозный	прет енци оз н ый
пафосный	пафосн ый
